Variable,Categoría,Comuna,Valor
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 01,31918
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 01,2885
Fuente para preparar los alimentos,Acueducto público?,Comuna 01,34065
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 01,24
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 01,11
Fuente para preparar los alimentos,Agua lluvia?,Comuna 01,2
Fuente para preparar los alimentos,Aguatero?,Comuna 01,13
Fuente para preparar los alimentos,Carrotanque?,Comuna 01,0
Fuente para preparar los alimentos,No informa,Comuna 01,453
Fuente para preparar los alimentos,Pila pública?,Comuna 01,5
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 01,12
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 01,8
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 01,36
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 01,123
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 01,33291
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 01,220
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 01,56
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 01,847
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 01,46
Lugar donde preparan los alimentos,No informa,Comuna 01,292
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 01,51
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 01,1877
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 01,437
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 01,193
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 01,726
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 01,24352
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 01,790
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 01,8248
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 01,6205
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 01,486
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 01,10843
¿Lo atendieron?,No,Comuna 01,74
¿Lo atendieron?,No informa,Comuna 01,1
¿Lo atendieron?,Sí,Comuna 01,3233
¿Donde nacio?,En este mpio,Comuna 01,21570
¿Donde nacio?,En otro mpio Colombiano,Comuna 01,12167
¿Donde nacio?,En otro país,Comuna 01,301
¿Donde nacio?,No Informa,Comuna 01,765
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 01,32753
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 01,856
¿En donde vivía hace 12 meses ?,En otro país,Comuna 01,169
¿En donde vivía hace 12 meses ?,No Informa,Comuna 01,768
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 01,257
¿En donde vivía hace 5 años ?,En este mpio,Comuna 01,29412
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 01,2775
¿En donde vivía hace 5 años ?,En otro país,Comuna 01,438
¿En donde vivía hace 5 años ?,No Informa,Comuna 01,899
¿En donde vivía hace 5 años ?,No había nacido,Comuna 01,1279
¿Sabe leer y escribir?,No,Comuna 01,691
¿Sabe leer y escribir?,No informa,Comuna 01,781
¿Sabe leer y escribir?,Sí,Comuna 01,31918
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 01,1413
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 01,1483
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 01,1717
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 01,13
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 01,2375
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 01,2861
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 01,2764
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 01,2530
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 01,2627
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 01,2122
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 01,2224
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 01,2598
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 01,2654
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 01,2362
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 01,1844
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 01,1217
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 01,873
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 01,578
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 01,366
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 01,146
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 01,36
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 01,29994
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 01,752
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 01,4057
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 01,8982
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 01,627
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 01,711
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 01,1415
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 01,1233
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 01,12130
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 01,4916
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 01,1893
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 01,5776
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 01,4201
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 01,234
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 01,2595
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 01,7468
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 01,601
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 01,489
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 01,885
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 01,174
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 01,429
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 01,3660
